title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
Flexible Start- und Endezeiten für die Freibadsaison,6176,javaman,"
        Stuttgart (gesamt)      ",2013.0,"Sport, Bäder",Sparidee,110.0,"

      Gemeinderat hat abgelehnt  
  

 
","Die Freibadsaisson soll nicht an festen Terminen beginnen und enden, sondern ja nach Wetterlage in einem flexiblen Zeitraum von einer Woche.Die maximale Dauer der Freibadsaison soll dabei im Besten Fall um eine Woche länger sein als aktuell. Im schlechtesten Fall ist die Freibadsaison um eine Woche gekürzt. Es gibt sozusagen eine ""Kernöffnungszeit"" und zwei flexible Wochen pro Jahr.Zur weiteren Erläuterung ein Beispiel mit den Daten des Freibades Vaihingen von diesem Jahr:Die ""feste""Freibadsaison in Vaihingen beginnt am am 18.05 und endet am 1.9. In der Woche vom 11.5 bis 18.5 ist das Freibad nur geöffnet, wenn das Wetter entsprechend gut ist, und daher viele Besucher erwartet werden können. Ist das Wetter schlecht, so ist in diesem Zeitraum noch geschlossen, und die Saison beginnt am 18.5.Am Ende der Saison, im Zeitraum vom 1.9 bis 8.9. bleibt das Freibad nur geöffnet, wenn das Wetter gut ist, ansonsten wird das Freibad geschlossen.Die Freibadsaison wurde ja, wie bekannt, vor einiger Zeit um eine Woche reduziert, damit die Bäderbetriebe einen Teil zur Einsparung am städtischen Haushalt beitragen. Beim Freibad hängt der Umsatz fast ausschließlich vom Wetter ab. Bei schlechtem Wetter sind fast ausschließlich Badegäste mit Dauerkarte da. Es wird also nicht viel verdient. Bei gutem Wetter ist das Freibad voll, und daher der Umsatz hoch. Die flexiblen Saisonzeiten bringen bei schlechtem Wetter  mehr Einsparung und bei gutem Wetter größere Mehreinnahmen.Und potentiell längere Öffnungszeiten für die Freibadgäste.",,-103,386,Der Vorschlag fand keine Mehrheit im Gemeinderat. Der Beginn der Freibadsaison in den einzelnen Bädern wird von den Bäderbetrieben Stuttgart jeweils in Abhängigkeit des Sommerferienendes und unter Berücksichtigung der Wirtschaftlichkeit festgelegt. Dabei ist eine Flexibilität nur bedingt (wenige Tage) und nur in einzelnen Bädern möglich.,"Die Bäderbetriebe Stuttgart haben die Dauer, die Start- und Endtermine für die aktuelle Freibadsaison am 1. Februar 2013 mit der Gemeinderatsdrucksache 988/2012 im Bäderausschuss abgestimmt. Die aktuelle Regelung wurde von allen Fraktionen begrüßt.
Vorgeschichte war die Verkürzung der Dauer der Freibadsaison um eine Woche aufgrund der Haushaltskonsolidierung 2009 seit der Saison 2010 und die Wünsche aus der Bevölkerung und den Gemeinderatsfraktionen, alle Freibäder bis zum Ende der Schulsommerferien verbindlich geöffnet zu halten.
Unter Berücksichtigung dieser Rahmenbedingungen öffnen die Freibäder in 2013 wie folgt:
Freibad Möhringen: vom 27. April bis 22. September 2013
Höhenfreibad Killesberg: vom 11. Mai bis 8. September 2013 (Schulferienende)
Inselbad Untertürkheim und Freibad Rosental: vom 18. Mai bis 8. September 2013
Freibad Sillenbuch: nach Beendigung der Sanierung bis 8. September 2013
Für die folgenden Jahre wird von den Bäderbetrieben Stuttgart der Beginn der Freibadsaison in den einzelnen Bädern jeweils in Abhängigkeit des Sommerferienendes und unter Berücksichtigung der Vorgaben der Haushaltskonsolidierung festgelegt. Dabei ist eine Flexibilität nur bedingt (wenige Tage) und nur in einzelnen Bädern (nicht generell in allen Freibädern) möglich. Dies vor allem deshalb, weil Arbeitsverträge mit Saisonkräften in der Regel einen festen ""Beginnzeitpunkt"" beinhalten und somit bei einem kurzfristigen ""Vorziehen"" des Saisonstarts nicht genügend Personal zur Verfügung stehen würde. 
Die im Bürgervorschlag beispielhaft genannte ""feste"" Freibadsaison für das Freibad in Vaihingen wäre im Vergleich zu den Regelungen aus der Haushaltskonsolidierung um eine weitere Woche gekürzt. Außerdem wird der vehement geäußerte Wunsch, die Freibadsaison bis zum Ende der Schulferien zu garantieren, nicht berücksichtigt.
",,ja,source_files/buergerhaushalt_26.html,"Sport, Bäder"
Stadtbahn 10 Minuten Takt ausweiten,3887,Zuckerle,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,111.0,,Teilweise gilt bereits ab 18.30 Uhr der 15 Minuten Takt. Dies schmälert die Atraktivität des Stadtbahnnetzes für Fahrten nach Feierabend deutlich.Der 10 Minuten-Takt sollte daher bis 22 Uhr gelten.,,-108,390,,,,nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
Abschaffung der Laubbläser,3479,Matzratz,"
        Stuttgart (gesamt)      ",2013.0,"Abfall, Sauberkeit",Sparidee,112.0,,"Im Herbst wird an vielen öffentlichen Orten das Laub täglich mit fast unerträglich lauten Laubbläsern auf einen großen Haufen zusammen geblasen. Der Wind verteilt dieses Laub wieder über Nacht, damit der Kreislauf am nächsten Morgen wieder von vorne beginnen kann. Man hat den Eindruck, dass bei der jetzigen Praxis weder auf Schulen und Kindergärten, noch auf die Anwohner Rücksicht genommen wird.Ich schlage vor einmal in der Woche mit dem Besen das Laub zu entfernen und zu entsorgen. Das ist bestimmt billiger und schont die Nerven der betroffenen Anwohner.",,-138,419,,,,nein,source_files/buergerhaushalt_26.html,"Abfall, Sauberkeit"
Mehr Konzertflächen in Stuttgart schaffen / Schutz der verbleibenden Konzertflächen,5976,Gast,"
        Stuttgart (gesamt)      ",2013.0,Kultur,Ausgabe,113.0,"

      Gemeinderat hat teilweise zugestimmt  
  

 
","In den letzten 2 Jahren sind mit der Röhre, dem alten Rocker33, dem Landespavillon und nun auch dem Zapata bereits einige Konzertflächen in Stuttgart ersatzlos verschwunden.Spielstätten für 300-1000 Zuschauer sind daher leider kaum noch vorhanden. Die Stadt sollte sich deshalb dafür einsetzen, dass:1. Die verbleibenden Spielstätten wie unter anderem das LKA und die Wagenhallen geschützt werden.2. Bestehende Flächen wie das Zapata wieder genutzt werden können.3. Verlorene Konzertflächen an anderer Stelle wieder hergestellt werden. Beispielsweise muss es einen Ersatz für den Landespavillon geben.","Zwischenzeitlich liegt ein Konzept vor, das Basis für die weitere Vorgehensweise ist. Angesichts der sich abzeichnenden Kostensteigerungen wird derzeit untersucht, ob es eventuell alternative Sanierungsmöglichkeiten gibt.
",-138,419,"Der Gemeinderat hat sich dafür ausgesprochen, die Wagenhallen auch künftig als Raum
für die Kunst bestehen zu lassen. Für die Umsetzung eines Nutzungskonzepts und für Instandsetzungsmaßnahmen wurden 5,5 Millionen Euro eingestellt.",,,nein,source_files/buergerhaushalt_26.html,Kultur
Wiederbelebung des Bahnhofs Stuttgart-West als S-Bahn-Station,3511,demokrat73,"
        Stuttgart-West      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,114.0,,"Einrichtung eines Haltepunkts für S-Bahnen am Stuttgart-West-Bahnhof oberirdisch sowie Einrichtung einer unterirdischen S-Bahn-Station Stuttgart-West-Bahnhof in der Kehrschleife direkt unter dem oberirdischen Bahnhof zur besseren Anbindung der Anwohne am Sattel. Die Stadt sollte hier auf die Bahn einwirken, diese mit verhältnismäßig geringen Kosten - liegende Infrastruktur - zu realisierende Maßnahme in Angriff zu nehmen.",,-123,404,,,"



Der Bezirksbeirat fordert die Nutzung der Gäubahnlinie für den Nahverkehr. Voraussetzungen wären grundsätzliche  Regelungen zwischen Stadt, DB und Regionalverband, die auch die Positionierungen  der Haltestellen beinhalten.


",nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
Neustrukturierung des Tarifsystems,5970,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",kostenneutral,115.0,,"Die Stuttgarter ÖPNV-Tarife sind unübersichtlich, ungerecht und die höchsten in Deutschland. Zwei Beispiele: Man kann in der Zone 2 einmal um ganz Stuttgart herum fahren u. zahlt nur eine Zone. Wenn man auf kürzestem Wege durch durch die Zone 1 fährt, zahlt man drei Zonen. Wo ist da die Logik? Scool-abos werden nur für die streckenmäßig kürzeste Strecke ausgestellt; wenn man eine zeitmäßig kürzere andere Strecke wählt, ist eine Strafe fällig. Es gibt viele einfachere u. gerechtere Tarifsysteme u. obendrein wesentlich billiger, an denen sich Stuttgart ein beispiel nehmen sollte, wenn der ÖPNV attraktiver werden soll.",,-118,397,,,,nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
"Öffentlichen Nahverkehr günstiger machen, insbesondere nachts",3007,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,116.0,,"Günstigere Nahverkehrspreise für alle bzw. kostenloser Nahverkehr  und mehr Nachtbuslinien.Vordergründig entstehen Kosten. Eingespart werden jedoch enorme Umweltbelastungen. Unsinnige Feinstaubverhinderungsprojekte, Kosten für Tunnel und Straßenbau.",,-114,390,,,,nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
Solardächer auf öffentlichen Gebäuden ,5848,schriftlich ein...,"
        Stuttgart (gesamt)      ",2013.0,"Energie, Umwelt",Ausgabe,117.0,,"Im Zuge der Sanierung von öffentlichen Gebäuden wie zum Beispiel Schulen und so weiter, sollten die leeren Dachflächen zur Anbringung von Photovoltaikanlagen genutzt werden, um auch die Energiewende schneller herbeizurufen.",,-116,391,,,,nein,source_files/buergerhaushalt_26.html,"Energie, Umwelt"
Öffentliches Grün in öffentliches Bunt verwandeln - Hilfe für unsre Honigbienen,3477,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Energie, Umwelt",Ausgabe,118.0,"

      wurde umgesetzt  
  

 
","In dem Winter 2012/2013 sind eine erschreckend hohe Zahl an Bienenvölkern eingegangen. Die Gründe sind vielfältig: Akuter Nahrungsmangel durch intensive Landwirtschaft, Einsatz von Pestiziden - auch in Schrebergärten und Vorgärten - und Vorschädigung durch die Varroa-Milbe. In der Stadt können Bienen leben, wenn wir ihre Lebensbedingungen verbessern: Das kann durch insektenfreundliche, blühende Bepflanzung an Strassenrändern, Grünflächen, Kreisverkehren, Hausgärten und Balkonen geschehen. Bienenkästen auf öffentlichen Gebäuden stehen schon in Hamburg und Berlin. Bienen sind friedliche Insekten und stürzen sich nicht - anders als Wespen - auf Speisen und Getränke. In China gibt es Regionen, in welchen die Obstblüte von Hand bestäubt wird - die Bienen sind dort ausgestorben. Zitat Albert Einstein: Nach der Biene stirbt der Mensch""... Stuttgart kann hier ganz viel zur Verbesserung unserer Honiglieferanten tun!","Die Umsetzung erfolgt regelmäßig in der laufenden Unterhaltung. Durch ihr Mähregime fördert die Stadt artenreiche Kräuterwiesen.
",-99,374,"Die Stadt verfolgt die Förderung von Insekten und Kleinlebewesen durch Heuwiesen mit blütenreichen Flächen, die erst ab Juni gemäht und zeitlich verzögert abgeräumt werden. Während der Trocknung fällt der Samen aus dem Heu und kann im Folgejahr wieder zu blütenreichen Wiesen heranwachsen.",,,nein,source_files/buergerhaushalt_26.html,"Energie, Umwelt"
Kein finanzielle Beteiligung für die Gefährdung von Menschenleben - Kein S(chrägbahnhof) 21,4207,sorgenfri,"
        Stuttgart (gesamt)      ",2013.0,Zusätzliche Themen,Sparidee,119.0,"

      Gemeinderat hat abgelehnt  
  

 
","Die Stadt Stuttgart soll sich nicht am Bau des Schrägbahnhofs beteiligen, der mit einem Gefälle von 15 Promille zwar einzigartig in der ganzen Welt sein würde, aber ungeahnte Folgen mit sich bringt. Die Technik ist nicht vollkommen und die Menschen machen Fehler und wie aus Köln zu lesen ist, setzen sich dort des öfteren Mal Züge in Bewegung.Das Beispiel aus Stuttgart im vergangenen Jahr sollte Mahnung genug sein und wir können von Glück sagen, dass bei der Zugentgleisung in Feuerbach nicht mehr passiert ist. Jeder der in Physik aufgepasst hat, weiß über die Gefahren im Gefälle Bescheid. Einen Bahnhof zu bauen ist Aufgabe der Deutsche Bahn AG und die Stadt Stuttgart soll keinen Cent dafür bezahlen, dass die Sicherheit ihrer Bürger nicht gewährleistet ist.",,-234,508,"Der Gemeinderat hat mit großer Mehrheit zum Ausdruck gebracht, dass er das Projekt Stuttgart 21 verwirklicht sehen möchte. Auf dieser Grundlage hat die Stadt sich vertraglich verpflichtet, einen bestimmten Teil der Projektkosten zu tragen. Dem beantragten Rückzug aus dem Projekt Stuttgart 21 kann daher nicht entsprochen werden.",,,nein,source_files/buergerhaushalt_26.html,Zusätzliche Themen
Radwege in Vaihingen,3323,Evelin Bleibler,"
        Vaihingen      ",2013.0,Radverkehr,Ausgabe,120.0,,"In Vaihingen fehlt ein Radwegkonzept. Das vorhandene Stückwerk vor allem im Zentrum ist mehr gefährlich als hilfreich. Beispiel: Radstreifen in der Emilienstraße entgegen der Fahrtrichtung der Einbahnstraße. Am Ende muss man als Linksabbieger die mehrspurige Robert-Koch-Straße überqueren. Beispiel: der gesamte Kreuzungsbereich Robert-Koch-Str /Hauptstraße. Zum Teil ist Rad auf Gehweg erlaubt, dann wieder nicht, was zu gefährlichem Wechsel auf Straße zwingt. Weitere Beispiele sind abrufbar. Fazit: Die Alibi-Radwegstücke müssen zu einem zusammenhängenden Radwegnetz verbunden werden.",,-137,410,,,"



Das Thema wird im Rahmen des Verkehrsstrukturplans behandelt.


",nein,source_files/buergerhaushalt_26.html,Verkehr
Bahnhofsvorplatz in Cannstatt verschönern,4102,Gast,"
        Bad Cannstatt      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,121.0,,"Der Bahnhofsvorplatz ist ganz und gar nicht ansehnlich, leider auch oft vermüllt. Eine schönere Gestaltung mit mehr grün wäre wünschenswert.",,-112,385,,,"



Der Bezirksbeirat Bad Cannstatt nimmt den Vorschlag zur Kenntnis und stimmt ihm zu.


",nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
Taktzeiten bis mindestens 20 Uhr beibehalten,6041,Flaneur,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,122.0,,"Die Taktzeiten der Innenstadtbusse werden abends zu früh von 10 auf 15 oder gar 20 Minuten reduziert. Da die Innenstadtgeschäfte bis 20 Uhr geöffnet sind, müsste es für Beschäftigte und Kunden möglich sein, ohne lange Wartezeiten und drangvolle Enge mit Bussen und Bahnen nach Hause zu kommen. Auch die Übereinstimmung mit den Straßenbahntakten, die es tagsüber gibt, müsste bis mindestens 20 Uhr weiter bestehen. Der 43er z.B. ist zwischen 19 und 20 Uhr manchmal so voll wie morgens nicht! Das müsste der SSB bekannt sein, warum man nicht darauf reagiert, erschließt sich mir nicht.",,-94,367,,,,nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
Hallenbad Vaihingen häufiger öffnen,3123,Gast,"
        Vaihingen      ",2013.0,"Sport, Bäder",Ausgabe,123.0,,"Das Hallenbad in Vaihingen ist freitags, sonntags ! und montags geschlossen.Insbesondere am Sonntag und Freitag soll das Hallenbad wieder für die Allgemeinheit geöffnet sein. Vor allem Familien können das Bad sonntags nutzen. Freitags haben viele Kinder keinen Nachmittagsunterricht und die Hausaufgaben können auch noch etwas warten, so dass dies ein idealer Tag für das Schwimmbad wäre. Zur Info hier die aktuellen Öffnungszeiten:Di: 	7:00-22:00 WMi: 	7:00-19:00Do: 	14:00-19:00Sa: 	12:00-18:00Dieser Vorschlag gehört eigentlich unter Kinder/Jugend/Familie unter Soziales und unter Gesundheit.Der Vorschlg ist ferner mit Personalausgaben verbunden, schafft aber abgesehen von den offensichtlichen Vorteilen für die Hallenbadbenutzer, Arbeitsplätze und spart so möglicherweise an anderer Stelle Kosten ein.",,-124,396,,,"



Der Bezirksbeirat befürwortet eine weitere Öffnungszeit am Sonntag Vormittag.


",nein,source_files/buergerhaushalt_26.html,"Sport, Bäder"
Schulen sanieren,3212,marienurdie,"
        Stuttgart (gesamt)      ",2013.0,"Schulen, Bildung",Ausgabe,124.0,,Unsere Schulen müssen dringendst renoviert werden.,,-96,367,,,,nein,source_files/buergerhaushalt_26.html,"Schulen, Bildung"
Günstigere VVS-Tickets für den Samstag,5900,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,125.0,,"Anstatt die Autos der Auswertigen in der Innenstadt zu haben, sollte die VVS Anreize setzen, die Busse und Bahnen zu nehmen. Viele Städte sind da schon seit Jahren weiter (Zürich, Ravensburg...). Dies könnte über Sparpreise oder günstigere Gruppentickets ( z.B. für zwei!) gehen. Der Nahverkehr in Stuttgart ist für Gelegenheitsfahrer viel zu teuer!",,-127,396,,,,nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
"Bahnhof, Bahnhofsunterführung und Bahnhofsvorplatz Untertürkheim erneuern",4429,Gast,"
        Untertürkheim      ",2013.0,"Stadtplanung, Städtebau",Ausgabe,126.0,"

      Stadt ist nicht zuständig  
  

 
","Bahnhof, Bahnhofsvorplatz und Bahnhofsunterführung werden täglich von zahlreichen Schülern (Lindenschulzentrum), Daimlermitarbeitern, Bürger aus den Oberen Neckarvororten und Touristen benutzt. Der Zustand dieser Örtlichkeiten ist untragbar.Die Attraktivität muss dringend verbessert werden. Gemeinsam mit der Deutschen Bahn AG muss die Bahnhofsunterführung saniert werden. Die Denkmalschutzbehörde wird aufgefordert die denkmalschutzrechtlichen Belange am historischen Bahnhof zu überprüfen, ggfs. einen Rückbau zu erreichen. Das Amt für Stadtplanung und Stadterneuerung soll Vorschläge zur Aufwertung des Leonhard-Schmidt-Platz erarbeiten. Im Jetzigen Umfeld ist attraktiver Einzelhandel und eine Nahversorgung undenkbar.",,-106,375,"Die Fußgängerunterführung Untertürkheim befindet sich im Eigentum und in der Unterhaltung der Deutschen Bahn.
Am 05.09.2013 fand ein Ortstermin zum Punkt „Sanierung und Aufwertung der Bahnhofsunterführung“ mit der DB Station und Service AG statt. Der Leiter des Bahnhofsmanagements Stuttgart ist offen für Ideen zur Verschönerung der Wandflächen - auch Graffitikunst ist denkbar. Eine bauliche Umgestaltung der Unterführung ist nicht geplant, da der Zustand funktionsgerecht ist.",,"



Der Bezirksbeirat befürwortet diesen Vorschlag. Im Bezirksbeiratsbeschluss vom 05.03.2013 hat der Bezirksbeirat Forderungen des IHGV bereits aufgenommen und verfolgt diese nachhaltig als Maßnahme gegen Trading-Down-Effekt.


",nein,source_files/buergerhaushalt_26.html,"Stadtplanung, Städtebau"
Gestaltung Feuersee,2960,muess,"
        Stuttgart-West      ",2013.0,"Grünflächen, Wald, Friedhöfe",Ausgabe,127.0,"

      Gemeinderat hat teilweise zugestimmt  
  

 
","Renovierung der bestehenden Anlage Feuersee. Die große Lösung ist zwar aus Gründen des Denkmalschutzes nicht möglich. Aber zumindest die Zaunanlage und Sitzbänke sind stark sanierungsbedürftig. Und das Gestrüpp könnte man auch beseitigen. Ein erhöhter Wasserdurchfluss ist aus Gründen der Reinheit wohl schon vorgeschlagen worden.Ziel wäre aus meiner Sicht, dem Westen einen schönen Bereich zum Verweilen zu geben.","Die Maßnahmen zur Verbesserung der Wasserqualität wurden 2014 bereits durchgeführt und bis sind Mitte 2015 abgeschlossen. Das Ufer zur Rotebühlstraße soll ab Herbst 2015 umgestaltet werden.
",-104,373,Mittel der Stadtentwicklungspauschale in Höhe von 250.000 EUR stehen für Aufwertungen des Ufers auf der Seite Rotebühlstraße bereit.,,"



Der Vorschlag wird unterstützt, es liegen Bezirksbeirat Beschlüsse vor:
Mit der Verbesserung der Wasserqualität wird im Herbst 2013 begonnen. Planungen zur Verbesserung des Umfelds des Sees sollen, verbunden mit einer Bürgerbeteiligung, im Herbst diskutiert und aus Step-Mitteln finanziert werden.


",nein,source_files/buergerhaushalt_26.html,"Grünflächen, Wald, Friedhöfe"
Begrünung Marienplatz,3203,Gast,"
        Stuttgart-Süd      ",2013.0,"Grünflächen, Wald, Friedhöfe",Ausgabe,128.0,,Der Marienplatz sollte durch Begrünung (Anpflanzen neuer Bäume) aufgewertet werden. Dies trägt zur Attraktivität als auch zur Feinstaubreduzierung bei.,,-146,413,,,"



Der Bezirksbeirat Süd wird sich mit allen Vorschlägen zum Thema Marienplatz befassen, unabhängig von der Platzierung. Weitere Klärung nach einer Marienplatz-Begehung.


",nein,source_files/buergerhaushalt_26.html,"Grünflächen, Wald, Friedhöfe"
JES! Wachstum braucht Zuwendung,2706,PapaSüd,"
        Stuttgart (gesamt)      ",2013.0,Kultur,Ausgabe,129.0,"

      Gemeinderat hat zugestimmt  
  

 
","Seit zehn Jahren bereichert das Junge Ensemble Stuttgart (JES) die Kulturlandschaft in einer Stadt, die Kinderfreundlichkeit als Ziel ausgerufen hat. Hier wird jungen und junggebliebenen Theaterzuschauern generationenübergreifend die Möglichkeit geboten, interessante Theaterproduktionen zu sehen oder selbst unter Anleitung professioneller Theaterpädagogen zu spielen. Zusätzlich holt das JES alle zwei Jahre für das Festival „Schöne Aussicht“ herausragende und innovative Produktionen aus aller Welt in die Stadt Stuttgart.Das JES platzt aber zehn Jahre nach seiner Gründung und einem seitdem nahezu unveränderten Zuschuss aus allen Nähten: Die Theaterkurse sind überfüllt und viele Vorstellungen oft schon Monate im Voraus ausverkauft.Das JES benötigt dringend einen Ausbau und muss räumlich und personell wachsen, um die größere Nachfrage weiterhin in der hohen Qualität befriedigen zu können, an der sich Kinder, Jugendliche und Erwachsene seit zehn Jahren erfreuen und die mittlerweile ein Aushängeschild der Stadt Stuttgart geworden ist. Das JES muss weiter unterstützt werden, das JES muss wachsen können!",,-136,402,"Das Junge Ensemble Stuttgart (JES) erhielt bislang einen städtischen Zuschuss von rd. 1,24 Mio. EUR pro Jahr. Im Zuge der Erhöhung der laufenden Mittel für die Kulturförderung erhält das JES künftig jeweils 190.000 EUR jährlich zusätzlich.",,,nein,source_files/buergerhaushalt_26.html,Kultur
"Laubsauger, Laubbläser verbieten",6178,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Abfall, Sauberkeit",kostenneutral,130.0,,"Laubsauger und Laubbläser verursachen unnötigen Lärm und erhöhen den Feinstaub. Laubsauger verhäckseln Insekten und kleine Tiere. Nirgendwo bleibt eine schützende Laubdecke zum Überwintern übrig.Teilweise wird die Kehrwoche rund ums Jahr damit erledigt.Zuerst bei den städtischen Gärtnern abschaffen, bei Auftragsvergaben, nach und nach für alle im ganzen Stadtgebiet. Das rechen des Laubes würde wieder einige neue Arbeitsplätze schaffen u.a. auch inklusive (Einfachstarbeitsplätze).",,-148,413,,,,nein,source_files/buergerhaushalt_26.html,"Abfall, Sauberkeit"
Freibadöffnungszeiten sollten auf Mitte April bis mindestens Mitte September verlängert werden,2909,Gast,"
        Vaihingen      ",2013.0,"Sport, Bäder",Ausgabe,131.0,"

      Gemeinderat hat abgelehnt  
  

 
","Die Freibadöffnungszeiten in Vaihingen sollten auf Mitte April bis mindestens Mitte September verlängert werden. Dies wird mehr Leute zum Besuch im Freibad bewegen. Schwimmen ist gesund und sollte, auch wenn längere Öffnungszeiten Geld kosten, mehr gefördert werden. Die Ausrede, dass dafür kein Geld vorhanden sein soll, ist nicht akzeptabel, denn an anderen Stellen wird sinnlos Geld verschwendet. Auch die angebliche Alternative Freibad Möhringen ist keine gute Idee, denn dort wird das Schwimmvergnügen durch die Leine zwischen Schwimmer- und Nichtschwimmerbereich erheblich gestört.",,-134,399,Der Vorschlag fand keine Mehrheit im Gemeinderat. Der Beginn der Freibadsaison in den einzelnen Bädern wird von den Bäderbetrieben Stuttgart jeweils in Abhängigkeit des Sommerferienendes und unter Berücksichtigung der Wirtschaftlichkeit festgelegt. Dabei ist eine Flexibilität nur bedingt (wenige Tage) und nur in einzelnen Bädern möglich.,,"



Der Bezirksbeirat Vaihingen unterstützt den Vorschlag.


",nein,source_files/buergerhaushalt_26.html,"Sport, Bäder"
Urban Gardening auf brach liegenden Grundstücken,3997,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Grünflächen, Wald, Friedhöfe",Ausgabe,132.0,"

      wurde umgesetzt  
  

 
","Stuttgart als „Stadt zwischen Wald und Reben“ wird immer grauer. Durch Umstrukturierungen und brach liegende Großprojekte entstandene Leerflächen können als (Zwischen)-Nutzung für BürgInnengärten genutzt werden, Beispiel: „Prinzessinnengärten“ in Berlin.Statt Plätzen, die immer mehr zumüllen und brach liegen, könnten grüne Oasen als interkultureller Treffpunkt und Natturraum entstehen. Die umliegenden Grundstücke werden dadurch ebenfalls aufgewertet, Imagegewinn für die Stadt.Die Stadt fungiert als Zwischenmieter und stellt die Flächen Vereinen bzw. Bürgerinitiativen zur Verfügung.","Die Richtlinie zur Förderung von urbanen Gärten wurde am 16.10.2014 durch den Gemeinderat beschlossen. Aus Haftungsgründen ist eine Förderung nur gegenüber Initiativgruppen mit festen Ansprechpartnern auf definierten Flächen möglich.
Diese Flächen können - in Abstimmung mit dem verwaltenden Amt - auch städtische Brachflächen sein.
Die Richtlinien wurden am 13.10.2014 im Amtsblatt veröffentlicht.
",-116,381,Es wird ein Projektmittelbudget „Stadtbegrünung“ einschließlich Urban Gardening in den Jahren 2014/2015 mit insgesamt 200.000 Euro je Jahr bereitgestellt.,,,nein,source_files/buergerhaushalt_26.html,"Grünflächen, Wald, Friedhöfe"
"Gründerzeithäuser, Bauhaus und Co erhalten",6160,sowahr,"
        Stuttgart (gesamt)      ",2013.0,"Stadtplanung, Städtebau",kostenneutral,133.0,,"Ich finde es eine Katastrophe, dass immer noch Gründerzeithäuser in Stuttgart abgerissen werden. Der Denkmalschutz schützt ja nur einzelne Gebäude. Zu  einem Stadtbild gehört aber ein Ensemble. In keiner anderen Stadt wird heute noch so viel zerstört, wie in Stuttgart. Das steht im Weg, das muss abgerissen werden. Warum kann man alte erhaltenswerte Gebäude nicht stehen lassen. In Schwäbisch Hall reisst man ja auch nicht die Häuser am Marktplatz ab. Hier wird aber alles, was im Weg steht abgerissen und dann fahren die Leute in die Toskana und bewundern die schönen Dörfchen und Städte und wie idyllisch Architektur und Landschaft zusammen passen. Bei uns war es auch mal so schön, bevor das Geld und der Geschmack und die Einstellung wenn dann richtig allen Charme vernichtet hat.",,-100,361,,,,nein,source_files/buergerhaushalt_26.html,"Stadtplanung, Städtebau"
Westbahnhof wieder als Personenbahnhof ausbauen und an die U-Bahn anbinden,3654,Gast,"
        Stuttgart-West      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,134.0,,"Der Westbahnhof ist noch bis 1985 von der Bahn als Personenbahnhof genutzt worden und sollte wieder als vollwertiger Haltepunkt der DB hergestellt werden. Mit entsprechenden Parkmöglichkeiten könnte der Straßenverkehr durch die Stadt auf diese Weise entscheidend reduziert werden (Park&Ride).Besonders attraktiv und ebenfalls mit überschaubarem Aufwand könnte der Bahnhof an die U-Bahn angeschlossen werden, indem die Linie nach Botnang eine unterirdische Abzweigung erhält.",,-111,370,,,"



Siehe Ausführungen zu Vorschlag 3511.  Darüberhinaus ist eine Anbindung nach Botnang nicht finanzierbar.


",nein,source_files/buergerhaushalt_26.html,"Busse, Bahnen (ÖPNV)"
